model,split_type,hour_sgt_numeric,n,bias_pred_minus_obs,mae,official_wbgt_mean,pred_wbgt_mean
M1b_period_bias,apparent,18.75,27,0.38452799687354017,0.4783572418848935,26.48888888888889,26.873416885762435
M1b_period_bias,apparent,19.0,27,0.4745204258979084,0.5348884390317117,26.344444444444438,26.818964870342356
M1b_period_bias,apparent,19.25,27,0.4229130854928157,0.4860653330977407,26.196296296296296,26.619209381789116
M1b_period_bias,apparent,19.5,27,0.2797589258760827,0.3807713703997748,26.137037037037036,26.41679596291312
M1b_period_bias,apparent,19.75,27,0.09623478738674283,0.30697203376194754,26.114814814814817,26.211049602201562
M1b_period_bias,apparent,20.0,27,-0.09713757328780474,0.3020269161976279,26.07777777777778,25.980640204489973
M1b_period_bias,apparent,20.25,27,-0.037174700051158964,0.29242811654588413,26.05925925925926,26.022084559208103
M1b_period_bias,apparent,20.5,27,-0.0031676529637570745,0.3162427162215409,26.06666666666667,26.06349901370291
M1b_period_bias,apparent,20.75,27,0.060439368933953595,0.3260284212058132,26.04444444444444,26.104883813378397
M1b_period_bias,apparent,21.0,27,0.10920215719865764,0.35160442158316974,26.037037037037035,26.146239194235697
M1b_period_bias,apparent,21.5,27,0.073117834417548,0.36782832533559046,26.066666666666666,26.13978450108421
M1b_period_bias,apparent,21.75,27,0.06610602643247637,0.33859817720520424,26.070370370370366,26.136476396802845
M1b_period_bias,apparent,22.0,27,0.0034836652365319606,0.3291026781725057,26.129629629629626,26.13311329486616
M1b_period_bias,apparent,22.25,27,-0.05286110295102902,0.3290436494112726,26.196296296296296,26.14343519334527
M1b_period_bias,apparent,22.5,27,-0.07220695438515035,0.34485636312520507,26.225925925925928,26.153718971540773
M1b_period_bias,apparent,22.75,27,-0.08047990838732318,0.3336570554169644,26.244444444444444,26.16396453605712
M1b_period_bias,apparent,23.25,27,-0.10833091703816046,0.335275666866308,26.24074074074074,26.13240982370258
M1b_period_bias,apparent,23.5,27,-0.10940321861364745,0.3398457768326786,26.2,26.090596781386356
M1b_period_bias,apparent,23.75,27,-0.11052611156043753,0.33701570518439616,26.159259259259258,26.048733147698822
M1b_period_bias,apparent,0.0,27,-0.09318059652658095,0.3685957914316322,26.1,26.006819403473422
M1b_period_bias,apparent,0.25,27,-0.07978042989437989,0.3511688257365944,26.06296296296296,25.983182533068582
M1b_period_bias,apparent,0.5,27,-0.07381345462533365,0.3352788067233154,26.03333333333333,25.959519878707994
M1b_period_bias,apparent,0.75,27,-0.045649904928447844,0.3371222422379445,25.98148148148148,25.93583157655303
M1b_period_bias,apparent,1.0,27,-0.04343779476932918,0.3522606348007684,25.95555555555556,25.91211776078623
M1b_period_bias,apparent,1.25,27,-0.04952383456588865,0.3476007485209671,25.92222222222222,25.872698387656335
M1b_period_bias,apparent,1.5,27,-0.06671016618655393,0.3402661625774566,25.900000000000002,25.833289833813442
M1b_period_bias,apparent,1.75,27,-0.09870048499271349,0.34727170647377475,25.89259259259259,25.793892107599877
