prediction_source,dataset_label,target_col,ablation_model,station_id,n,MAE,bias,official_ge_31_count,official_ge_33_count,fixed_31_recall,fixed_31_F1,residual_p90,residual_mean_high_tail
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S153,388,0.8275804841686906,0.01178026938930045,37,0,0.3783783783783784,0.5,1.2150482374036409,0.9857649309739767
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S124,388,0.8114999366300932,-0.26452449732321953,10,0,0.2,0.1818181818181818,0.9748792343296666,0.9985630585719552
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S129,385,0.8031356032301907,0.11618735853092181,47,0,0.1702127659574468,0.2909090909090909,1.244048214460186,1.3168266402286921
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S142,388,1.138509635709598,0.5498348570333654,66,13,0.015151515151515152,0.02985074626865672,2.6832171202783974,2.7701814671007483
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S137,388,1.0933175610460886,0.653991693238108,54,6,0.0,,2.5608950289903136,2.593059934322689
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S139,388,1.0834780175647716,-0.6556558080560797,0,0,,,0.8795018070188491,
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S135,388,1.0237070803997061,0.05506472562697097,47,6,0.0851063829787234,0.15384615384615383,1.8817719968725852,2.0179972290739494
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S125,388,0.9787890318250506,0.4392809844695006,35,1,0.22857142857142856,0.3555555555555555,1.7073219455167399,1.3800299321640126
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S187,388,0.9394762032091618,-0.1025921311597438,27,0,0.037037037037037035,0.07142857142857142,1.487296126868551,1.5948985879568514
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S147,388,0.9328166634853207,-0.0728993470222695,40,2,0.0,,1.5049288723313556,1.9117906511376894
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S141,388,0.9310401437228009,0.2162984547471658,28,0,0.03571428571428571,0.06666666666666667,1.7318869843163187,1.9173045780541937
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S128,388,0.9306393676696948,0.03140396408432232,30,1,0.03333333333333333,0.0625,1.6726308560628236,1.9170280703105222
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S143,388,0.9095207193502512,0.0856445946452678,25,0,0.2,0.2702702702702703,1.4189745569291863,1.6016331676467184
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S132,388,0.9076574612675847,0.43584423155760255,28,0,0.21428571428571427,0.34285714285714286,1.6120717928812585,1.4480919624318973
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S151,388,0.9073453528267712,-0.20534006117668413,33,0,0.06060606060606061,0.10256410256410256,1.2331189730633572,1.5310853782672564
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S150,388,0.8652426322444103,-0.24009847405085724,11,0,0.09090909090909091,0.15384615384615385,1.3011611000327377,1.1117747330786811
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S127,388,0.8580677528523466,0.2189536530148889,24,0,0.0,,1.6126553294723045,1.8142527493598486
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,S149,388,0.8569608172171965,-0.5150052833565547,6,0,0.0,,0.5919242197397239,1.4290833898235598
